	date_forecast	building	pv_measurement
0	2023-05-01 00:00:00	A	2.160812308799673e-07
1	2023-05-01 00:15:00	A	3.9750566213036325e-07
2	2023-05-01 00:30:00	A	1.7155578022281548e-07
3	2023-05-01 00:45:00	A	4.226063349782471e-07
4	2023-05-01 01:00:00	A	6.415856276982037e-07
5	2023-05-01 01:15:00	A	-2.6313935059522496e-07
6	2023-05-01 01:30:00	A	-1.5987641769517312e-07
7	2023-05-01 01:45:00	A	1.1724915573911325e-05
8	2023-05-01 02:00:00	A	0.19098625430262692
9	2023-05-01 02:15:00	A	1.6380271669376065
10	2023-05-01 02:30:00	A	3.0900669628656994
11	2023-05-01 02:45:00	A	22.020589548449053
12	2023-05-01 03:00:00	A	62.652608817267435
13	2023-05-01 03:15:00	A	87.10118347475151
14	2023-05-01 03:30:00	A	183.5962590809674
15	2023-05-01 03:45:00	A	260.0436565696673
16	2023-05-01 04:00:00	A	289.14831544495263
17	2023-05-01 04:15:00	A	417.884821735198
18	2023-05-01 04:30:00	A	412.8178759542793
19	2023-05-01 04:45:00	A	596.308798619595
20	2023-05-01 05:00:00	A	867.1684741403615
21	2023-05-01 05:15:00	A	960.1751184666298
22	2023-05-01 05:30:00	A	1150.400993367456
23	2023-05-01 05:45:00	A	1362.3008605217492
24	2023-05-01 06:00:00	A	1755.3072291093185
25	2023-05-01 06:15:00	A	2018.1912564203467
26	2023-05-01 06:30:00	A	2130.693748113581
27	2023-05-01 06:45:00	A	2590.3650366536303
28	2023-05-01 07:00:00	A	2662.128133353245
29	2023-05-01 07:15:00	A	2821.8031566422483
30	2023-05-01 07:30:00	A	2917.095689509541
31	2023-05-01 07:45:00	A	3091.538883206624
32	2023-05-01 08:00:00	A	3092.049270286175
33	2023-05-01 08:15:00	A	3366.594520561904
34	2023-05-01 08:30:00	A	3467.988333497983
35	2023-05-01 08:45:00	A	3651.9997125121554
36	2023-05-01 09:00:00	A	3903.545886364035
37	2023-05-01 09:15:00	A	3939.9829950660555
38	2023-05-01 09:30:00	A	3938.610391363919
39	2023-05-01 09:45:00	A	3876.7053789917104
40	2023-05-01 10:00:00	A	3732.812421314775
41	2023-05-01 10:15:00	A	3354.8873662913534
42	2023-05-01 10:30:00	A	3287.2238785959457
43	2023-05-01 10:45:00	A	3018.525271425361
44	2023-05-01 11:00:00	A	2917.7063909387325
45	2023-05-01 11:15:00	A	2801.595087923121
46	2023-05-01 11:30:00	A	2680.128211290421
47	2023-05-01 11:45:00	A	2431.886650238531
48	2023-05-01 12:00:00	A	2294.4095815102914
49	2023-05-01 12:15:00	A	2246.075552520219
50	2023-05-01 12:30:00	A	2014.3317639240713
51	2023-05-01 12:45:00	A	2004.055912568193
52	2023-05-01 13:00:00	A	2080.4919980100935
53	2023-05-01 13:15:00	A	1939.6871872488891
54	2023-05-01 13:30:00	A	1995.4477931549964
55	2023-05-01 13:45:00	A	2142.5751816571546
56	2023-05-01 14:00:00	A	2117.7808890578813
57	2023-05-01 14:15:00	A	2031.2030362060045
58	2023-05-01 14:30:00	A	1999.6139254935333
59	2023-05-01 14:45:00	A	1800.9517991422158
60	2023-05-01 15:00:00	A	1638.4463804834809
61	2023-05-01 15:15:00	A	1400.7818847677627
62	2023-05-01 15:30:00	A	1296.3218616337608
63	2023-05-01 15:45:00	A	1237.548480426306
64	2023-05-01 16:00:00	A	1131.8039715414288
